fecha,tipo,etiqueta,valor
2026-03-03,gflip,G-Flip,6900
2026-03-03,volatility_trigger,Volatility Trigger,6900
2026-03-03,call_wall,Call Wall,7000
2026-03-03,put_wall,Put Wall,6800
2026-03-03,soporte,Línea de fuego / soporte intermedio,6750
2026-03-03,soporte,Soporte táctico 0DTE,6675
2026-03-03,objetivo,Objetivo bajista siguiente,6700
2026-03-04,gflip,G-Flip,6890
2026-03-04,volatility_trigger,Volatility Trigger,6890
2026-03-04,call_wall,Call Wall,7000
2026-03-04,put_wall,Put Wall,6700
2026-03-04,resistencia,Resistencia consolidación,6900
2026-03-04,soporte,Soporte clave,6800
2026-03-05,gflip,G-Flip,6900
2026-03-05,volatility_trigger,Volatility Trigger,6900
2026-03-05,call_wall,Call Wall,7000
2026-03-05,put_wall,Put Wall,6800
2026-03-06,gflip,G-Flip,6900
2026-03-06,volatility_trigger,Volatility Trigger,6900
2026-03-06,call_wall,Call Wall,7000
2026-03-06,put_wall,Put Wall,6700
2026-03-06,resistencia,Consolidación clave alcista,6900
2026-03-06,soporte,Ruptura vigilada,6800
2026-03-07,gflip,G-Flip,6900
2026-03-07,volatility_trigger,Volatility Trigger,6850
2026-03-07,call_wall,Call Wall,7000
2026-03-07,put_wall,Put Wall,6700
2026-03-09,gflip,G-Flip,6900
2026-03-09,volatility_trigger,Volatility Trigger,6850
2026-03-09,call_wall,Call Wall,7000
2026-03-09,put_wall,Put Wall,6700
2026-03-09,soporte,Media 200 sesiones spot,6580
2026-03-09,soporte,Soporte 0DTE zona corto plazo,6600
2026-03-10,gflip,G-Flip,6850
2026-03-10,volatility_trigger,Volatility Trigger,6800
2026-03-10,call_wall,Call Wall,7000
2026-03-10,put_wall,Put Wall,6700
2026-03-10,resistencia,Consolidación clave,6900
2026-03-11,gflip,G-Flip,6850
2026-03-11,volatility_trigger,Volatility Trigger,6800
2026-03-11,call_wall,Call Wall,7000
2026-03-11,put_wall,Put Wall,6700
2026-03-11,resistencia,Primera resistencia,6900
2026-03-11,soporte,Collar JPMorgan (pata larga puts),6470
2026-03-11,objetivo,Nivel pin vencimiento marzo,7000
2026-03-12,gflip,G-Flip,6850
2026-03-12,volatility_trigger,Volatility Trigger,6850
2026-03-12,call_wall,Call Wall,7000
2026-03-12,put_wall,Put Wall,6700
2026-03-12,resistencia,Consolidación clave alcista,6900
2026-03-13,gflip,G-Flip,6850
2026-03-13,volatility_trigger,Volatility Trigger,6800
2026-03-13,call_wall,Call Wall,7000
2026-03-13,put_wall,Put Wall,6700
2026-03-13,soporte,Collar JPMorgan pata larga puts,6475
2026-03-13,soporte,MM200 / zona soporte,6600
2026-03-14,gflip,G-Flip,6850
2026-03-14,volatility_trigger,Volatility Trigger,6800
2026-03-14,call_wall,Call Wall,7000
2026-03-14,put_wall,Put Wall,6500
2026-03-14,resistencia,Zona de estabilización clave,6900
2026-03-14,soporte,Collar JPMorgan,6475
2026-03-14,soporte,Soporte MA200 / Put Wall anterior,6600
2026-03-16,gflip,G-Flip,6800
2026-03-16,volatility_trigger,Volatility Trigger,6800
2026-03-16,call_wall,Call Wall,7000
2026-03-16,put_wall,Put Wall,6500
2026-03-16,resistencia,Resistencia consolidación alcista,6900
2026-03-17,gflip,G-Flip,6800
2026-03-17,volatility_trigger,Volatility Trigger,6800
2026-03-17,call_wall,Call Wall,7000
2026-03-17,put_wall,Put Wall,6600
2026-03-17,resistencia,Resistencia clave para estabilidad,6900
2026-03-18,gflip,G-Flip,6800
2026-03-18,volatility_trigger,Volatility Trigger,6800
2026-03-18,call_wall,Call Wall,7000
2026-03-18,put_wall,Put Wall,6600
2026-03-19,gflip,G-Flip,6800
2026-03-19,volatility_trigger,Volatility Trigger,6800
2026-03-19,call_wall,Call Wall,7000
2026-03-19,put_wall,Put Wall,6500
2026-03-19,resistencia,Zona de estabilidad,6900
2026-03-19,soporte,Collar JPM put larga,6475
2026-03-20,gflip,G-Flip,6700
2026-03-20,volatility_trigger,Volatility Trigger,6800
2026-03-20,call_wall,Call Wall,7000
2026-03-20,put_wall,Put Wall,6600
2026-03-20,resistencia,Consolidación clave alcista,6900
2026-03-20,soporte,Soporte 200 sesiones / zona clave,6500
2026-03-21,gflip,G-Flip,6700
2026-03-21,volatility_trigger,Volatility Trigger,6800
2026-03-21,call_wall,Call Wall,7000
2026-03-21,put_wall,Put Wall,6400
2026-03-21,resistencia,200DMA / Zona de definición,6800
2026-03-21,soporte,JPM Collar (pata larga),6475
2026-03-23,gflip,G-Flip,6700
2026-03-23,volatility_trigger,Volatility Trigger,6800
2026-03-23,call_wall,Call Wall,7000
2026-03-23,put_wall,Put Wall,6400
2026-03-23,soporte,Soporte collar JPM / pata larga put,6475
2026-03-24,gflip,G-Flip,6700
2026-03-24,volatility_trigger,Volatility Trigger,6700
2026-03-24,call_wall,Call Wall,7000
2026-03-24,put_wall,Put Wall,6500
2026-03-24,resistencia,Zona de estabilidad,6800
2026-03-25,gflip,G-Flip,6700
2026-03-25,volatility_trigger,Volatility Trigger,6700
2026-03-25,call_wall,Call Wall,7100
2026-03-25,put_wall,Put Wall,6500
2026-03-25,resistencia,Resistencia 0DTE,6650
2026-03-25,soporte,Soporte 0DTE,6585
2026-03-26,gflip,G-Flip,6700
2026-03-26,volatility_trigger,Volatility Trigger,6700
2026-03-26,call_wall,Call Wall,7000
2026-03-26,put_wall,Put Wall,6500
2026-03-26,resistencia,Zona consolidación estabilidad,6800
2026-03-26,soporte,Soporte 0DTE,6500
2026-03-26,soporte,Soporte gamma positiva,6400
2026-03-27,gflip,G-Flip,6700
2026-03-27,volatility_trigger,Volatility Trigger,6700
2026-03-27,call_wall,Call Wall,7000
2026-03-27,put_wall,Put Wall,6500
2026-03-27,soporte,Put Strike JPM,6475
2026-03-29,gflip,G-Flip,6700
2026-03-29,volatility_trigger,Volatility Trigger,6700
2026-03-29,call_wall,Call Wall,7000
2026-03-29,put_wall,Put Wall,6300
2026-03-29,resistencia,Nivel de estabilidad / recuperación,6800
2026-03-29,soporte,Strike collar JPM (nivel clave roto),6475
2026-03-29,soporte,Zona gamma positiva / soporte técnico,6350
2026-03-30,gflip,G-Flip,6700
